property_price,property_location,beds,baths,receptions,area_sq_ft
"£2,384 pcm","Praed Street, Paddington, London W2",2 beds,1 bath,1 reception,591 sq. ft
"£1,950 pcm","Acton House, Horn Lane, London W3",2 beds,1 bath,1 reception,NA
"£4,695 pcm","Grove End Road, St Johns Wood NW8",2 beds,2 baths,1 reception,NA
"£1,800 pcm","Eversleigh Road, Finchley N3",2 beds,1 bath,1 reception,NA
"£1,252 pcm","Olive Road, Cricklewood NW2",1 bath,1 reception,NA,NA
"£2,800 pcm","Frimley Gardens, Mitcham CR4",1 bed,1 bath,NA,NA
"£1,650 pcm","Fife Terrace, London N1",1 bath,1 reception,NA,NA
"£1,755 pcm","Westwick Gardens, London W14",1 bed,1 bath,1 reception,NA
"£1,850 pcm","Choumert Road, London SE15",1 bed,NA,NA,NA
"£3,200 pcm","Alderbrook Road, London SW12",3 beds,1 bath,NA,NA
"£2,750 pcm","Richmond Road, London Fields E8",3 beds,1 bath,1 reception,925 sq. ft
"£3,250 pcm","Benyon Wharf, 295 Kingsland Road, London E8",2 beds,1 bath,1 reception,NA
"£1,900 pcm","Lawrence Road, London N15",1 bed,1 bath,1 reception,NA
"£2,500 pcm","Boston House, Olympic Way, Wembley HA9",3 beds,1 bath,1 reception,NA
"£2,900 pcm","Porchester Place, London W2",2 beds,1 bath,NA,NA
"£1,750 pcm","Boulevard Drive, Colindale NW9",1 bed,1 bath,1 reception,NA
"£2,297 pcm","Hartham Road, London N7",2 beds,1 bath,1 reception,NA
"£3,140 pcm","Shoreditch, London EC2A",1 bed,1 bath,505 sq. ft,NA
"£3,500 pcm","Epple Road, London SW6",3 beds,2 baths,1 reception,NA
"£2,500 pcm","Brook Street, Kingston Upon Thames KT1",2 beds,2 baths,1 reception,NA
"£1,550 pcm","Wandsworth Road, Nine Elms SW8",1 bed,1 bath,1 reception,NA
"£1,800 pcm","Fortess Road, London NW5",1 bed,1 bath,1 reception,679 sq. ft
"£2,500 pcm","Boston House, Olympic Way, Wembley HA9",3 beds,1 bath,1 reception,NA
"£1,725 pcm","Quill House, 1 Plowden Road, Kidbrooke SE3",1 bed,1 bath,1 reception,NA
"£2,650 pcm","3 Merino Gardens, London Dock E1W",1 bed,1 bath,1 reception,452 sq. ft
"£3,467 pcm","Grices Wharf Apartments, Rotherhithe Street, London, Greater London SE16",2 beds,NA,NA,NA
"£1,603 pcm","Sedgemoor Place, London SE5",1 bed,1 bath,1 reception,NA
"£1,800 pcm","Fortess Road, London NW5",1 bed,1 bath,1 reception,679 sq. ft
"£2,500 pcm","Boston House, Olympic Way, Wembley HA9",3 beds,1 bath,1 reception,NA
"£1,725 pcm","Quill House, 1 Plowden Road, Kidbrooke SE3",1 bed,1 bath,1 reception,NA
"£2,967 pcm","Ashley Road, London N17",3 beds,2 baths,969 sq. ft,NA
"£1,998 pcm","Maud Street, London E16",1 bed,1 bath,1 reception,NA
"£1,550 pcm","Lawrence Road, London N15",2 beds,1 bath,NA,NA
"£1,900 pcm","Eaton Road, Sutton SM2",2 beds,1 bath,1 reception,NA
"£2,650 pcm","Radipole Road, Parsons Green SW6",2 beds,1 bath,1 reception,NA
"£1,150 pcm","Cullington Close, Harrow HA3",1 bed,1 bath,1 reception,NA
"£2,000 pcm","Cunningham Park, Harrow HA1",1 bed,1 bath,1 reception,NA
"£2,145 pcm","Westminster Bridge Road, Waterloo SE1",1 bed,1 bath,507 sq. ft,NA
"£1,300 pcm","Claremont Street, London N18",2 beds,1 bath,1 reception,NA
"£2,705 pcm","Dolphin Square, London SW1V",3 beds,3 baths,1 reception,NA
"£3,142 pcm","South Lodge, Circus Road, St John's Wood, London NW8",1 bed,1 bath,1 reception,NA
"£13,000 pcm","Burton Court, Franklins Row SW3",1 bath,NA,NA,NA
"£1,700 pcm","Prince Of Wales Terrace, Turnham Green W4",2 beds,1 bath,NA,NA
"£1,475 pcm","The Delamarre, Brent Cross Town, 8 Ribbon Lane, Cricklewood NW2",2 beds,2 baths,1 reception,NA
"£2,400 pcm","Newington Causeway, London SE1",1 bed,1 bath,1 reception,431 sq. ft
"£4,200 pcm","Canalside Walk, Paddington W2",2 beds,1 bath,1 reception,807 sq. ft
"£1,751 pcm","Cooper Road, Dollis Hill NW10",1 bed,2 baths,1 reception,1668 sq. ft
"£2,347 pcm","Ashley Road, London N17",1 bed,1 bath,1 reception,NA
"£2,000 pcm","Mayfields, Wembley HA9",1 bed,1 bath,1 reception,NA
"£1,375 pcm","High Road, London N20",3 beds,2 baths,1 reception,NA
"£1,600 pcm","Holcombe Mansions, 3 Mulberry Circus IG11",1 bed,1 bath,1 reception,668 sq. ft
"£3,000 pcm","Colorama Building, London SE1",2 beds,2 baths,NA,NA
"£2,383 pcm","Elm Park Mansions, Park Walk SW10",1 bed,1 bath,1 reception,NA
"£2,095 pcm","Avington Court, Old Kent Road, Bermondsy, London SE1",3 beds,2 baths,1 reception,NA
"£1,890 pcm","Crouch Hill Mansions, 143 Crouch Hill, Crouch End N8",2 beds,1 bath,1 reception,581 sq. ft
"£1,750 pcm","Mandela Street, London SW9",1 bed,1 bath,1 reception,NA
"£13,000 pcm","Gunter Grove, Chelsea, London SW10",3 beds,2 baths,1 reception,NA
"£1,600 pcm","Deer Park Gardens, Mitcham CR4",2 beds,1 bath,NA,NA
"£2,167 pcm","Cartwright Gardens, London WC1H",1 bath,NA,NA,NA
"£4,000 pcm","Ability Place, Canary Wharf E14",2 beds,2 baths,1 reception,NA
"£3,600 pcm","Hertsmere Road, Canary Wharf E14",2 beds,2 baths,1 reception,NA
"£3,500 pcm","Ability Place, Millharbour E14",2 beds,2 baths,1 reception,NA
"£2,000 pcm","Alderney Court, 70 Trafalgar Road SE10",2 beds,1 bath,1 reception,NA
"£1,395 pcm","Bedford Avenue, Hayes UB4",1 bed,1 bath,1 reception,NA
"£2,000 pcm","Chalklands, Wembley HA9",2 beds,1 bath,1 reception,NA
"£1,395 pcm","Avington Court, Old Kent Road, Bermondsy, London SE1",1 bed,1 bath,1 reception,NA
"£1,650 pcm","Durnsford Road, London SW19",1 bed,1 bath,NA,NA
£975 pcm,"Lancing Road, Ilford IG2",1 bath,NA,NA,NA
"£2,080 pcm","Ashley Road, London N17",1 bed,1 bath,1 reception,549 sq. ft
"£1,950 pcm","Fetter Lane, London EC4A",1 bed,1 bath,1 reception,NA
"£2,643 pcm","The Spur, 32 Cock Lane, London EC1A",2 beds,2 baths,1 reception,NA
"£1,400 pcm","Flat E, 163 Streatham High Road, Streatham SW16",1 bed,1 bath,1 reception,NA
"£1,750 pcm","Woodlands Park Road, London N15",2 beds,1 bath,1 reception,NA
"£1,400 pcm","Ledbury Place, Croydon CR0",1 bed,1 bath,NA,NA
"£1,750 pcm","Birdhurst Road, South Croydon, Surrey CR2",2 beds,1 bath,1 reception,NA
"£7,583 pcm","Fulham Road, London SW10",4 beds,3 baths,2 receptions,1999 sq. ft
"£3,550 pcm","South Bank Tower, 55 Upper Ground SE1",1 bed,2 baths,1 reception,NA
"£1,200 pcm","Nottingham Road, South Croydon CR2",1 bath,NA,NA,NA
"£10,834 pcm","Green Street, Mayfair, London W1K",2 beds,2 baths,1 reception,953 sq. ft
"£2,578 pcm","Philbeach Gardens, London SW5",1 bed,1 bath,1 reception,647 sq. ft
"£1,425 pcm","St. Albans Crescent, London N22",1 bath,1 reception,NA,NA
"£1,800 pcm","Calverley Crescent, Dagenham RM10",2 beds,1 bath,2 receptions,NA
"£2,400 pcm","St. Albans Avenue, Chiswick, London W4",2 beds,1 bath,1 reception,NA
"£1,700 pcm","Seager Place, London SE8",1 bed,1 bath,1 reception,480 sq. ft
"£1,900 pcm","Chatsworth Road, Hackney E5",1 bed,1 bath,1 reception,NA
"£2,300 pcm","Sevington Street, London W9",2 beds,2 baths,1 reception,NA
"£2,700 pcm","Lower Richmond Road, London SW15",2 beds,1 bath,1 reception,NA
"£3,000 pcm","Fentiman Road, London SW8",3 beds,2 baths,1 reception,NA
"£1,850 pcm","Abbey Road, London NW6",1 bed,1 bath,1 reception,NA
£900 pcm,"Hughan Road, London E15",1 bed,1 bath,NA,NA
"£1,475 pcm","Sheridan Road, Manor Park, Eastham E12, E7, E6, E13, E11, E10, In,",1 bed,1 bath,1 reception,NA
"£5,417 pcm","Craven Hill, Bayswater, London W2",3 beds,2 baths,1 reception,1174 sq. ft
"£6,990 pcm","Haliburton Road, Twickenham TW1",3 beds,2 baths,1 reception,NA
"£1,550 pcm","Ashurst Close, London SE20",2 beds,NA,NA,NA
"£2,167 pcm","Cartwright Gardens, London WC1H",1 bath,NA,NA,NA
"£3,900 pcm","Savoy House, Chelsea Creek, Imperial Wharf SW6",2 beds,2 baths,1 reception,846 sq. ft
"£1,945 pcm","Gayton House, Chiltern Road, London E3",2 beds,1 bath,1 reception,700 sq. ft
"£1,200 pcm","Turnpike Lane, Hornsey N8",1 bath,1 reception,NA,NA
"£3,500 pcm","Principal Tower, Shoreditch EC2A",1 bed,1 bath,1 reception,NA
"£1,250 pcm","Staines Road, Hounslow TW3",1 bath,1 reception,NA,NA
"£1,250 pcm","High Street, London SE25",1 bed,1 bath,1 reception,280 sq. ft
"£4,225 pcm","Lexham Gardens, Kensington, London W8",2 beds,1 bath,1 reception,596 sq. ft
"£7,800 pcm","Kensington High Street, Kensington, London W8",2 beds,2 baths,1 reception,647 sq. ft
"£5,525 pcm","Queens Gate, South Kensington, London SW7",1 bed,1 bath,1 reception,674 sq. ft
"£3,900 pcm","Old Brompton Road, South Kensington, London SW7",2 beds,2 baths,1 reception,1016 sq. ft
"£6,934 pcm","Old Brompton Road, South Kensington, London SW7",2 beds,2 baths,1 reception,1016 sq. ft
"£1,928 pcm","Agar Grove, Camden NW1",1 bed,1 bath,1 reception,549 sq. ft
"£2,925 pcm","Hill Street, London W1J",1 bed,1 bath,1 reception,441 sq. ft
"£2,492 pcm","Gasholder Place, London SE11",1 bath,1 reception,NA,NA
"£3,684 pcm","Blandford Street, Marylebone, London W1U",1 bed,1 bath,1 reception,478 sq. ft
"£1,825 pcm","Cervantes Court, Northwood HA6",2 beds,1 bath,1 reception,NA
"£1,750 pcm","Finchley Road, London NW11",2 beds,2 baths,1 reception,NA
"£1,600 pcm","Wricklemarsh Road, London SE3",1 bed,1 bath,1 reception,NA
"£3,683 pcm","Farley Court, Allsop Place, London NW1",2 beds,1 bath,1 reception,NA
"£1,409 pcm","St Stephens Gardens, Notting Hill, London W2",1 bath,1 reception,188 sq. ft,NA
"£1,300 pcm","Kingshill Drive, Harrow HA3",2 beds,2 baths,1 reception,NA
"£3,250 pcm","Ludgate Hill, London EC4M",1 bed,1 bath,1 reception,409 sq. ft
"£1,560 pcm","Addison Bridge Place, Olympia, London W14",1 bed,1 reception,NA,NA
"£1,700 pcm","Aerial Square, London NW9",1 bed,1 bath,1 reception,NA
"£1,300 pcm","Braybourne Close, Uxbridge, Middlesex UB8",3 beds,1 reception,NA,NA
"£3,000 pcm","Kilburn Park Rd, London NW6",1 bed,1 bath,1 reception,NA
"£5,005 pcm","Grosvenor Hill, Mayfair, London W1K",2 beds,2 receptions,NA,NA
"£2,335 pcm","Aerial Square, London NW9",1 bed,1 reception,NA,NA
"£2,525 pcm","Southwark, 4Fe, UK SE11",3 beds,3 receptions,NA,NA
"£3,305 pcm","Aerial Square, London NW9",1 bed,1 reception,NA,NA
"£1,800 pcm","Aerial Square, London NW9",1 bed,1 reception,NA,NA
"£1,820 pcm","Camden, 1Bb, UK NW6",2 beds,2 receptions,NA,NA
"£2,925 pcm","Southwark, 4Fe, UK SE11",1 bed,1 reception,NA,NA
"£1,290 pcm","Courland Grove, London SW8",3 beds,3 receptions,NA,NA
"£2,721 pcm","Park Lane, Wembley HA9",2 beds,2 baths,1 reception,1226 sq. ft
"£5,634 pcm","Wandsworth Bridge Road, South Park, London SW6",2 beds,2 receptions,NA,NA
"£2,078 pcm","Park Lane, Wembley HA9",1 bed,1 reception,NA,NA
"£1,565 pcm","Ealing, 4Au, UK UB2",2 beds,2 receptions,NA,NA
"£1,800 pcm","Mare Street, Hackney, London E8",1 bed,1 bath,1 reception,351 sq. ft
"£24,999 pcm","Albion Street, London W2",4 beds,3 baths,3 receptions,NA
"£4,312 pcm","Edgware Road, London W2",1 bed,1 bath,1 reception,NA
"£1,845 pcm","Park Lane, Wembley HA9",1 bed,1 reception,NA,NA
"£1,910 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£1,910 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£1,950 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£2,800 pcm","Westminster, 5Qt, UK W2",1 bed,1 reception,NA,NA
"£1,350 pcm","Queens Drive, London N4",1 bed,1 reception,NA,NA
"£1,350 pcm","Red Lion Court, Alexandra Road, Hounslow TW3",1 bed,1 reception,NA,NA
"£4,450 pcm","New Cross Road, London SE14",4 beds,1 bath,1 reception,NA
"£1,625 pcm","Red Lion Court, Alexandra Road, Hounslow TW3",1 bed,1 reception,NA,NA
"£2,900 pcm","Westminster, 5Qt, UK W2",1 bed,1 reception,NA,NA
"£2,200 pcm","Wotton Court, Woolwich, London SE18",2 beds,830 sq. ft,NA,NA
"£1,350 pcm","Tilley Road, Feltham TW13",1 bed,1 bath,1 reception,NA
"£2,200 pcm","Westminster, 5Qt, UK W2",1 bed,1 reception,NA,NA
"£1,400 pcm","Queens Drive, London N4",1 bed,1 reception,NA,NA
"£1,450 pcm","Pilgrims Close, London N13",1 bed,1 bath,1 reception,NA
"£1,590 pcm","Camden, 1Bb, UK NW6",1 bed,1 reception,NA,NA
"£1,525 pcm","Red Lion Court, Alexandra Road, Hounslow TW3",1 bed,1 reception,NA,NA
"£1,998 pcm","Pioneer Market, Winston Way, Ilford IG1",2 beds,2 receptions,NA,NA
"£1,550 pcm","Pioneer Market, Winston Way, Ilford IG1",1 bed,1 reception,NA,NA
"£1,500 pcm","Swanton Court, Jerrard Street SE13",1 bed,1 bath,1 reception,NA
"£1,350 pcm","Leigh Hunt Drive, Southgate N14",1 bed,1 bath,1 reception,NA
"£1,800 pcm","Westmore Court, Carlton Drive, London SW15",1 bed,1 bath,1 reception,NA
"£2,350 pcm","Balham Hill, London SW12",1 bed,1 bath,1 reception,NA
"£2,000 pcm","Heritage Avenue, Colindale NW9",2 beds,2 baths,1 reception,NA
"£2,750 pcm","Bina Gardens, South Kensington, London SW5",1 bed,1 bath,1 reception,NA
"£15,167 pcm","Prince Of Wales Terrace, Kensington W8",2 beds,3 baths,1 reception,897 sq. ft
"£2,500 pcm","Wolff House, Ridgeway Views, London NW7, London,",2 beds,2 baths,1 reception,800 sq. ft
"£4,415 pcm","New Lion Way, London SE17",3 beds,3 baths,1038 sq. ft,NA
"£4,814 pcm","Grosvenor Hill, London W1K",1 bed,1 bath,NA,NA
"£3,250 pcm","Michael Road, London SW6",1 bed,NA,NA,NA
"£2,695 pcm","Ballards Lane, North Finchley N12",4 beds,1 bath,1 reception,NA
"£2,700 pcm","Birling Road, Erith DA8",5 beds,1 bath,1 reception,NA
"£2,500 pcm","High Street, Hornsey N8",3 beds,2 baths,1 reception,NA
"£2,800 pcm","Crosby Road, Forest Gate E7",4 beds,2 baths,2 receptions,1206 sq. ft
"£1,699 pcm","The Grove, London W5",1 bed,1 bath,1 reception,500 sq. ft
"£5,893 pcm","Young Street, London W8",2 beds,1 bath,1 reception,NA
"£1,577 pcm","Bromfelde Road, London SW4",1 bed,1 bath,1 reception,NA
"£3,000 pcm","Panoramic Tower, Currie Street, London E14",3 beds,2 baths,1 reception,NA
"£2,200 pcm","White Horse Road, London E1",2 beds,1 bath,1 reception,NA
"£2,800 pcm","Hamlet Gardens, London W6",2 beds,NA,NA,NA
"£3,750 pcm","Lincoln Plaza, London E14",2 beds,NA,NA,NA
"£1,750 pcm","Belsize Grove, London NW3",1 bath,1 reception,NA,NA
"£2,000 pcm","38 Milestone House, Old Kent Road SE1",2 beds,1 bath,1 reception,NA
"£2,350 pcm","Richmond Hill, Richmond TW10",3 beds,1 bath,1 reception,NA
"£1,850 pcm","Greenford Road, Greenford UB6",2 beds,2 baths,1 reception,NA
"£1,625 pcm","Charing Cross Road, London WC2H",1 bath,1 reception,172 sq. ft,NA
"£1,495 pcm","Canfield Gardens, London NW6",1 bed,1 bath,1 reception,NA
"£1,400 pcm","Anson Road, Cricklewood, London NW2",2 beds,2 baths,1 reception,NA
"£3,500 pcm","Brent House, 50 Wandsworth Road, London SW8",1 bed,1 bath,NA,NA
"£1,310 pcm","Finchley Road, London NW11",1 bed,2 baths,NA,NA
£710 pcm,"High Road, London NW10",1 bed,2 baths,NA,NA
£730 pcm,"High Road, London NW10",1 bed,2 baths,NA,NA
"£1,928 pcm","Agar Grove, Camden NW1",1 bed,1 bath,1 reception,549 sq. ft
"£4,100 pcm","Harlech Road, London N14",4 beds,2 baths,NA,NA
"£8,000 pcm","Millbank, Westminster SW1P",3 beds,2 baths,1 reception,NA
"£3,250 pcm","Pembroke Road, London W8",2 beds,2 baths,1 reception,NA
"£1,900 pcm","Madeley Road, Ealing W5",2 beds,1 bath,1 reception,NA
"£1,800 pcm","Bloomsbury Close, London, Ealing W5",2 beds,1 bath,1 reception,NA
"£2,400 pcm","Sumner Road, London SE15",2 beds,2 baths,1 reception,NA
"£1,700 pcm","Park Grove Road, Near Leytonstone High Road, Leytonstone, E10 E11",2 beds,1 bath,1 reception,NA
"£2,300 pcm","Barfield Avenue, Whetstone N20",3 beds,1 bath,2 receptions,NA
"£2,150 pcm","Grove Street, London SE8",2 beds,2 baths,1 reception,NA
"£3,250 pcm","Courtlands Richmond, Richmond TW10",2 beds,2 baths,1 reception,NA
"£1,750 pcm","Richmond Road, East Twickenham TW1",1 bed,1 bath,1 reception,NA
"£2,300 pcm","Hendon Lane, Finchley N3",2 beds,1 bath,1 reception,NA
"£2,900 pcm","Hamlet Gardens, London W6",1 bed,NA,NA,NA
"£2,097 pcm","Castlebar Road, London W5",2 beds,1 bath,1 reception,NA
"£1,900 pcm","Madeley Road, London W5",1 bed,1 bath,1 reception,NA
"£1,950 pcm","Windsor Road, London W5",2 beds,1 bath,1 reception,NA
"£1,800 pcm","Aspect House, 521 Manchester Road, London E14",1 bed,1 bath,1 reception,NA
"£1,000 pcm","Farnham Close, London N20",1 bed,1 bath,1 reception,NA
"£1,350 pcm","Cleave Avenue, Orpington, Kent BR6",2 beds,1 bath,1 reception,NA
"£1,800 pcm","Teddington Park, Teddington TW11",2 beds,1 bath,1 reception,NA
"£1,995 pcm","Whitton Avenue West, Greenford UB6",3 beds,1 bath,2 receptions,NA
"£6,283 pcm","Cranley Gardens, Chelsea, London SW7",3 beds,2 baths,1 reception,NA
"£1,900 pcm","Kotecha House, Pinner Road, Harrow HA1",2 beds,1 bath,1 reception,NA
"£5,500 pcm","Bath Road, Hounslow TW5",7 beds,4 baths,1 reception,NA
"£2,760 pcm","Earls Court, London SW5",1 bath,297 sq. ft,NA,NA
"£3,140 pcm","City Of London, London EC1Y",2 beds,2 baths,570 sq. ft,NA
"£3,480 pcm","Vauxhall, London SW8",2 beds,2 baths,767 sq. ft,NA
"£2,950 pcm","Richmond Road, Hackney, London E8",3 beds,1 bath,1 reception,948 sq. ft
"£6,998 pcm","Kings Tower, Chelsea Creek, London SW6",3 beds,3 baths,1 reception,NA
"£5,750 pcm","Pavilion Apartments, 34 St Johns Wood Road, St Johns Wood, London NW8",2 beds,2 baths,1 reception,1252 sq. ft
"£2,890 pcm","Shoreditch, London E2",1 bed,1 bath,537 sq. ft,NA
"£3,560 pcm","South Kensington, London SW7",2 beds,2 baths,678 sq. ft,NA
"£2,290 pcm","Queens Park, London W10",1 bed,1 bath,592 sq. ft,NA
"£3,930 pcm","Clerkenwell, London EC1V",2 beds,1 bath,680 sq. ft,NA
"£2,610 pcm","Kensington, London W14",1 bath,335 sq. ft,NA,NA
"£3,830 pcm","Waterloo, London SE1",2 beds,2 baths,590 sq. ft,NA
"£4,670 pcm","St. John's Wood, London NW8",2 beds,2 baths,852 sq. ft,NA
"£2,060 pcm","Camden Town, London NW1",1 bath,323 sq. ft,NA,NA
"£3,570 pcm","Bayswater, London W2",2 beds,1 bath,585 sq. ft,NA
"£3,900 pcm","Parkland Walk, London SW6",2 beds,2 baths,1 reception,NA
"£2,920 pcm","Hammersmith, London W6",1 bed,1 bath,589 sq. ft,NA
"£4,160 pcm","Southwark, London SE1",2 beds,2 baths,1048 sq. ft,NA
"£2,740 pcm","Marylebone, London W1H",1 bath,260 sq. ft,NA,NA
"£6,002 pcm","Sussex Gardens, London W2",3 beds,2 baths,2 receptions,NA
"£1,447 pcm","Kennington Road, London SE11",1 bath,1 reception,NA,NA
"£3,200 pcm","Neville Road, Croydon CR0",2 beds,1 bath,1 reception,NA
"£3,500 pcm","Commercial Street, Spitalfields, London E1",2 beds,2 baths,1 reception,1060 sq. ft
"£2,800 pcm","UNCLE Wembley, Park Lane, Wembley HA9",3 beds,2 baths,1 reception,NA
"£3,400 pcm","Carrara Tower, Bollinder Place, London EC1V",2 beds,1 bath,1 reception,729 sq. ft
"£2,700 pcm","Hamlet Gardens, London W6",1 bed,NA,NA,NA
"£3,600 pcm","Windsor Square, Woolwich, London SE18",3 beds,2 baths,1 reception,1087 sq. ft
"£18,417 pcm","Ladbroke Gardens, London W11",2 beds,2 baths,1 reception,1406 sq. ft
"£3,250 pcm","1 New Union Square, London SW11",1 bed,1 bath,419 sq. ft,NA
"£2,850 pcm","New Union Square, London SW11",1 bed,1 bath,419 sq. ft,NA
"£5,000 pcm","Atherton Street, London SW11",4 beds,2 baths,2 receptions,NA
"£2,925 pcm","St. John's Grove, London N19",3 beds,1 bath,1 reception,NA
"£5,460 pcm","Grosvenor Hill, London W1K",1 bed,2 baths,1 reception,NA
"£4,008 pcm","Nottingham Place, London W1U",2 beds,1 bath,1 reception,NA
"£2,350 pcm","UNCLE Wembley, Park Lane, Wembley HA9",2 beds,2 baths,1 reception,NA
"£3,000 pcm","Ballards Lane, London N12",3 beds,2 baths,1 reception,NA
"£2,383 pcm","Agar House, Goodluck Hope, London E14",1 bed,1 bath,1 reception,NA
"£1,950 pcm","UNCLE Wembley, Park Lane, Wembley HA9",1 bed,1 bath,1 reception,NA
"£3,200 pcm","Kensington Gardens Square, London W2",1 bed,1 bath,1 reception,NA
"£1,950 pcm","Copenhagen Street, London N1",1 bed,1 bath,1 reception,NA
"£2,500 pcm","Featherstone Street, London EC1Y",1 bed,1 bath,1 reception,NA
"£1,795 pcm","Shrewsbury Walk, Isleworth TW7",2 beds,1 bath,1 reception,NA
"£3,808 pcm","Repton Gardens, Wembley Park HA9",3 beds,2 baths,NA,NA
"£2,169 pcm","Balfron Tower, 6 St Leonards Road, London E14",2 beds,1 bath,1 reception,NA
"£2,400 pcm","Denbigh Street, Pimlico, London SW1V",2 beds,1 bath,1 reception,657 sq. ft
"£1,750 pcm","Barnard Hill, London N10",1 bed,1 bath,1 reception,NA
"£2,169 pcm","St. Leonards Road, London E14",2 beds,1 bath,1 reception,NA
"£2,750 pcm","Candle Street, Mile End, London E1",2 beds,2 baths,738 sq. ft,NA
"£2,275 pcm","Caspian Apartments, Limehouse, London E14",2 beds,1 bath,1 reception,769 sq. ft
"£1,475 pcm","High Street, Ruislip HA4",1 bed,1 bath,1 reception,NA
"£3,879 pcm","Neckinger Estate, Bermondsey, London SE16",2 beds,1 bath,1 reception,620 sq. ft
"£2,700 pcm","Clapham Road, London SW9",2 beds,1 bath,2 receptions,NA
"£1,650 pcm","Riverdale House, 68 Molesworth Street, London SE13",1 bed,1 bath,495 sq. ft,NA
"£1,595 pcm","Tyler Street, London SE10",1 bed,1 bath,1 reception,NA
"£7,900 pcm","Onslow Square, London SW7",4 beds,2 baths,1 reception,NA
"£2,500 pcm","Defoe House, 123 City Island Way, London E14",2 beds,2 baths,1 reception,NA
"£2,480 pcm","Repton Gardens, Wembley Park HA9",1 bed,1 bath,NA,NA
"£1,500 pcm","Court Yard, Eltham, London SE9",2 beds,2 baths,1 reception,NA
"£1,600 pcm","Oaklands Grove, Shepherds Bush W12",1 bed,1 bath,1 reception,NA
"£2,200 pcm","Gayton Road, Harrow On The Hill, Harrow HA1",2 beds,2 baths,1 reception,869 sq. ft
"£1,750 pcm","Bathurst Gardens, Kensal Rise, London NW10",1 bed,1 bath,550 sq. ft,NA
"£1,551 pcm","Fermont House, Beaufort Square NW9",1 bath,1 reception,389 sq. ft,NA
"£3,950 pcm","Canons Drive, Edgware HA8",5 beds,3 baths,4 receptions,2800 sq. ft
"£1,700 pcm","Spring Grove, Mitcham CR4",2 beds,1 bath,1 reception,NA
"£2,500 pcm","Barons Court Road, West Kensington, London W14",2 beds,2 baths,1 reception,1023 sq. ft
"£1,600 pcm","Wellfield Road, Streatham, London SW16",1 bed,1 bath,1 reception,NA
"£4,187 pcm","Repton Gardens, Wembley Park HA9",4 beds,2 baths,NA,NA
"£2,200 pcm","French Apartments, Lansdowne Road, Purley CR8",3 beds,2 baths,NA,NA
"£2,700 pcm","Glebe House, 15 Fitzroy Mews, Fitzrovia, London W1T",2 beds,2 baths,1 reception,NA
"£2,750 pcm","Holland Gardens, Brentford TW8",2 beds,2 baths,1 reception,861 sq. ft
"£1,450 pcm","High Street, Teddington TW11",1 bed,1 bath,1 reception,NA
"£2,817 pcm","Artillery Mansions, Victoria Street, London SW1H",1 bed,1 bath,1 reception,NA
"£1,909 pcm","George Street, Croydon CR0",1 bed,1 bath,NA,NA
"£1,300 pcm","Station Terrace, Kensal Rise, London NW10",1 bath,1 reception,NA,NA
"£1,100 pcm","Tempsford Close, Enfield EN2",1 bath,NA,NA,NA
"£2,200 pcm","Tile Kiln Lane, Bexley DA5",3 beds,2 baths,2 receptions,NA
"£1,499 pcm","Deeley Road, London SW8",1 bath,1 reception,NA,NA
"£2,195 pcm","Chelsea Close, Hampton Hill, Hampton TW12",2 beds,1 bath,1 reception,NA
"£1,645 pcm","George Street, Croydon CR0",1 bed,1 bath,NA,NA
"£2,400 pcm","Dock Meadow Reach, London W7",2 beds,1 bath,1 reception,NA
"£2,600 pcm","Dulwich Road, London SE24",2 beds,1 bath,1 reception,NA
£695 pcm,"Mirror Path, Grove Park, London SE9",1 bed,1 bath,NA,NA
"£2,160 pcm","George Street, Croydon CR0",2 beds,2 baths,NA,NA
"£5,800 pcm","1 Handyside Street, London N1C",3 beds,3 baths,1 reception,1350 sq. ft
"£4,498 pcm","Tamworth Street, London SW6",3 beds,2 baths,1 reception,11302 sq. ft
"£2,600 pcm","Herrick Court, Bollo Bridge Road, London W3",2 beds,2 baths,815 sq. ft,NA
"£1,080 pcm","Anson Road, London NW2",1 bed,NA,NA,NA
"£4,312 pcm","South Wharf Road, London W2",2 beds,2 baths,1 reception,NA
"£2,200 pcm","Goodluck Hope Walk, Canning Town E14",1 bed,1 bath,1 reception,NA
"£4,767 pcm","Lexham Gardens, Kensington W8",2 beds,2 baths,1 reception,779 sq. ft
"£6,000 pcm","Fairholm, London N3",6 beds,3 baths,NA,NA
"£2,440 pcm","George Street, Croydon CR0",2 beds,2 baths,NA,NA
"£6,000 pcm","Fairholme Gardens, Finchley, London N3",6 beds,2 baths,3 receptions,NA
"£2,925 pcm","Edith Grove, London SW10",2 beds,1 bath,NA,NA
"£4,225 pcm","De Vere Gardens, London W8",3 beds,1 bath,2 receptions,NA
"£3,000 pcm","South Lambeth Road, London SW8",2 beds,2 baths,1 reception,1000 sq. ft
"£1,250 pcm","North Circular Road, London N13",1 bath,NA,NA,NA
"£1,519 pcm","George Street, Croydon CR0",1 bed,1 bath,NA,NA
"£1,799 pcm","George Street, Croydon CR0",1 bed,1 bath,NA,NA
